mesto,mesto2,mesto3,lat,lon
Aleksandrovac,Aleksandrovcu,Aleksandrovca,43.458999999999996,21.051
Aleksinac,Aleksincu,Aleksinca,43.533,21.717
Alibunar,Alibunaru,Alibunara,45.251000000000005,19.392
Apatin,Apatinu,Apatina,45.67100000000001,18.985
Aranđelovac,Aranđelovac,Aranđelovca,44.306940000000004,20.56
Arilje,Arilju,Arilja,43.75306,20.09556
Babušnica,Babušnici,Babušnice,43.063,22.415
Bajina Bašta,Bajinoj Bašti,Bajine Bašte,43.967,19.563
Batočina,Batočini,Batočine,44.153999999999996,21.066
Bačka Palanka,Bačkoj Palanci,Bačke Palanke,45.251000000000005,19.392
Bačka Topola,Bačkoj Topoli,Bačke Topole,45.798,19.665
Bački Petrovac,Bačkom Petrovcu,Bačkog Petrovca,45.798,19.665
Bela Crkva,Beloj Crkvi,Bele Crkve,44.9,21.433000000000003
Bela Palanka,Beloj Palankci,Bele Palanke,43.214,22.319000000000006
Beočin,Beočinu,Beočina,45.193999999999996,19.722
Bečej,Bečeju,Bečeja,45.623000000000005,20.036
Blace,Blacu,Blaca,43.298,21.289
Bogatić,Bogatiću,Bogatića,44.836999999999996,19.48
Bojnik,Bojniku,Bojnika,43.023,21.712
Boljevac,Boljevcu,Boljevca,43.831,21.962
Bosilegrad,Bosilegradu,Bosilegrada,42.501999999999995,22.46
Brus,Brusu,Brusa,43.38399999999999,21.027
Bujanovac,Bujanovcu,Bujanovca,42.456,21.767
Crna Trava,Crnoj Travi,Crne Trave,42.812,22.31
Despotovac,Despotovcu,Despotovca,44.093999999999994,21.44
Dimitrovgrad,Dimitrovgradu,Dimitrovgrada,43.021,22.78
Doljevac,Doljevcu,Doljevca,43.195,21.829
Gadžin Han,Gadžinom Hanu,Gadžinog Hana,43.23,22.033
Golubac,Golupcu,Golupca,44.635,21.677
Gornji Milanovac,Gornjem Milanovcu,Gornjeg Milanovca,44.033,20.45
Niš,Nišu,Niša,43.317,21.9
Grocka,Grockoj,Grocke,44.675,20.701
Inđija,Inđiji,Inđije,45.048,20.08165
Irig,Irigu,Iriga,45.101000000000006,19.859
Ivanjica,Ivanjici,Ivanjice,43.581,20.236
Jagodina,Jagodini,Jagodine,43.983000000000004,21.25
Kanjiža,Kanjiži,Kanjiže,46.048,20.038
Kikinda,Kikindi,Kikinde,45.82972,20.46528
Kladovo,Kladovu,Kladova,44.604,22.59
Knić,Kniću,Knića,43.927,20.72
Knjaževac,Knjaževcu,Knjaževca,43.566340000000004,22.25701
Koceljeva,Koceljevi,Koceljeve,44.463,19.828
Kosjerić,Kosjeriću,Kosjerića,43.998999999999995,19.912
Kovačica,Kovačici,Kovačice,45.111670000000004,20.62139
Kovin,Kovinu,Kovina,44.743,20.979
Kragujevac,Kragujevcu,Kragujevca,44.016999999999996,20.917
Kraljevo,Kraljevu,Kraljeva,43.733000000000004,20.717
Krupanj,Krupnju,Krupnja,44.365559999999995,19.36194
Kruševac,Kruševcu,Kruševca,43.583,21.333
Kula,Kuli,Kule,45.606,19.543
Kuršumlija,Kuršumliji,Kuršumlije,43.137,21.284
Kučevo,Kučevu,Kučeva,44.489,21.676
Lajkovac,Lajkovcu,Lajkovca,44.368,20.161
Lapovo,Lapovu,Lapova,44.18424,21.09727
Lazarevac,Lazarevcu,Lazarevca,44.38534,20.2557
Lebane,Lebanu,Lebana,42.923,21.736
Leskovac,Leskovcu,Leskovca,42.998000000000005,21.946
Loznica,Loznici,Loznice,44.534,19.224
Lučani,Lučanima,Lučana,43.857,20.138
Majdanpek,Majdanpeku,Majdanpeka,44.42771,21.94596
Mali Iđoš,Malom Iđošu,Malog Iđoša,45.714,19.669
Mali Zvornik,Malom Zvorniku,Malog Zvornika,44.39,19.124
Malo Crniće,Malom Crniću,Malog Crnića,44.555,21.292
Medveđa,Medveđi,Medveđe,42.832,21.575
Merošina,Merošini,Merošine,43.276,21.713
Mionica,Mionici,Mionice,44.255,20.08
Mladenovac,Mladenovcu,Mladenovca,44.43600000000001,20.691
Negotin,Negotinu,Negotina,44.217,22.533
